reward/env_0,reward/env_1,train/clip_fraction,train/clip_range,train/entropy_loss,train/approx_kl,train/n_updates,train/value_loss,train/std,train/learning_rate,train/policy_gradient_loss,train/loss,train/explained_variance,eval/mean_ep_length,eval/mean_reward,eval/success_rate,time/total_timesteps
-1703.2616653387686,,,,,,,,,,,,,,,,
-1338.6053828659474,,,,,,,,,,,,,,,,
,-11483.211226961588,,,,,,,,,,,,,,,
-2431.6443375193226,,,,,,,,,,,,,,,,
,-14516.603823005866,,,,,,,,,,,,,,,
-2044.5003214369021,,,,,,,,,,,,,,,,
-1392.4736357320337,,,,,,,,,,,,,,,,
,-13789.591165275284,,,,,,,,,,,,,,,
-1610.8850862262925,,,,,,,,,,,,,,,,
-1755.9484119624074,,,,,,,,,,,,,,,,
,-13831.75038432502,,,,,,,,,,,,,,,
-1387.018349261352,,,,,,,,,,,,,,,,
,-19418.00455537957,0.0,0.2,-14.570949077606201,0.0020011284,10,3540248.2,0.999956488609314,0.0003,-0.025239736307412386,1746389.75,6.532669067382812e-05,,,,
-22389.98012716911,,,,,,,,,,,,,,,,
,-13784.1133003622,,,,,,,,,,,,,,,
-26156.875737385675,,,,,,,,,,,,,,,,
,-11273.584448413289,,,,,,,,,,,,,,,
,,,,,,,,,,,,,102.0,-225.82248917,0.0,6000
-23823.064738349138,,,,,,,,,,,,,,,,
,-3646.654225303336,,,,,,,,,,,,,,,
-29460.29219099898,,,,,,,,,,,,,,,,
,-8306.089235768904,,,,,,,,,,,,,,,
-22914.040489426447,,,,,,,,,,,,,,,,
,-12563.658738894273,0.0,0.2,-14.69774351119995,3.4249024e-05,20,38958823.2,0.9999545812606812,0.0003,0.0021960900980047882,19046440.0,-9.059906005859375e-06,,,,
-5364.3335073382905,,,,,,,,,,,,,,,,
,-1871.0443105593142,,,,,,,,,,,,,,,
-565.7757647470959,,,,,,,,,,,,,,,,
-305.19625256643906,,,,,,,,,,,,,,,,
-289.8799780189456,,,,,,,,,,,,,,,,
,-20994.90815774034,,,,,,,,,,,,,,,
-498.70263068227996,,,,,,,,,,,,,,,,
-354.4815325660176,,,,,,,,,,,,,,,,
-286.6290133865023,,,,,,,,,,,,,,,,
,-17473.759082871587,,,,,,,,,,,,,,,
-328.32496258766207,,,,,,,,,,,,,,,,
-415.4900624624887,,,,,,,,,,,,,,,,
-432.25270025167436,,,,,,,,,,,,,,,,
-456.46784705393657,,,,,,,,,,,,,,,,
,-46666.00851287335,,,,,,,,,,,,,,,
-2470.136634182236,,,,,,,,,,,,,,,,
,-7522.482073385091,,,,,,,,,,,,,,,
-494.769892588189,,,,,,,,,,,,,,,,
-374.63448325069515,,,,,,,,,,,,,,,,
-295.482446296066,,,,,,,,,,,,,,,,
,-27179.944067726094,,,,,,,,,,,,,,,
-360.8458077974068,,,,,,,,,,,,,,,,
-418.300211955749,,,,,,,,,,,,,,,,
-410.6945147442335,,,,,,,,,,,,,,,,
-292.97326881434736,,,,,,,,,,,,,,,,
-300.327485627347,,,,,,,,,,,,,,,,
,-36698.63158162545,,,,,,,,,,,,,,,
-324.0302967903923,,,,,,,,,,,,,,,,
-284.967252847688,,,,,,,,,,,,,,,,
-318.15434750247726,,,,,,,,,,,,,,,,
,-14191.095895495173,,,,,,,,,,,,,,,
,,,,,,,,,,,,,102.0,-218.48256607,0.0,12000
-541.5039529458103,,,,,,,,,,,,,,,,
,-10493.922157163059,0.0,0.2,-14.480292367935181,5.909345e-05,30,49635412.4,0.9999252557754517,0.0003,-0.002468514593783766,25096760.0,5.4836273193359375e-06,,,,
-2500.32724038891,,,,,,,,,,,,,,,,
-7079.327747433216,,,,,,,,,,,,,,,,
,-66578.40617610999,,,,,,,,,,,,,,,
-2419.4648900372654,,,,,,,,,,,,,,,,
-8918.386597951438,,,,,,,,,,,,,,,,
,-54796.03542237232,,,,,,,,,,,,,,,
-9411.697126117355,,,,,,,,,,,,,,,,
,-85216.1199882049,,,,,,,,,,,,,,,
-4676.054291401702,,,,,,,,,,,,,,,,
-6954.654560393853,,,,,,,,,,,,,,,,
,-64815.95328736303,,,,,,,,,,,,,,,
-4777.031605224887,,,,,,,,,,,,,,,,
,-31608.38886118388,0.0,0.2,-14.670529794692992,2.5375455e-05,40,116386643.6,0.9999021291732788,0.0003,-0.002353121037594974,55145948.0,1.704692840576172e-05,,,,
-18506.625732202567,,,,,,,,,,,,,,,,
,-8224.910897228678,,,,,,,,,,,,,,,
,,,,,,,,,,,,,102.0,-195.09906907999996,0.0,18000
-49002.23879239706,,,,,,,,,,,,,,,,
,-15461.424778260116,,,,,,,,,,,,,,,
,-18233.832161075185,,,,,,,,,,,,,,,
-22726.970193151275,,,,,,,,,,,,,,,,
,-14451.918946032423,,,,,,,,,,,,,,,
-22193.754128530476,,,,,,,,,,,,,,,,
,-32774.49710662285,,,,,,,,,,,,,,,
-17540.647203311626,,0.0,0.2,-14.676417446136474,4.035697e-06,50,38443094.8,0.9998973608016968,0.0003,-0.000653019652236253,19087160.0,2.282857894897461e-05,,,,
,-13696.356318474853,,,,,,,,,,,,,,,
-2612.178761760173,,,,,,,,,,,,,,,,
-2315.052011197762,,,,,,,,,,,,,,,,
,-8091.574162794726,,,,,,,,,,,,,,,
-3155.264887443698,,,,,,,,,,,,,,,,
,-15084.421740623482,,,,,,,,,,,,,,,
-3309.172173312532,,,,,,,,,,,,,,,,
-580.5998375123849,,,,,,,,,,,,,,,,
-1509.736134846531,,,,,,,,,,,,,,,,
,-14615.232342402183,,,,,,,,,,,,,,,
,,,,,,,,,,,,,102.0,-165.37438708999997,0.0,24000
-888.6948810127429,,,,,,,,,,,,,,,,
,-9754.851049496388,,,,,,,,,,,,,,,
-10256.423124883393,,0.0,0.2,-14.545849132537843,1.843991e-05,60,5098720.25,0.9998847246170044,0.0003,-0.0016232388792559505,2524108.5,-9.894371032714844e-05,,,,
,-31212.4295697822,,,,,,,,,,,,,,,
-15266.054284409067,,,,,,,,,,,,,,,,
,-37379.135521574826,,,,,,,,,,,,,,,
-18513.717297466574,,,,,,,,,,,,,,,,
-16114.663659498809,,,,,,,,,,,,,,,,
,-37532.55640926407,,,,,,,,,,,,,,,
-17173.248462337106,,,,,,,,,,,,,,,,
,-36442.61598646274,,,,,,,,,,,,,,,
-10323.616930071013,,,,,,,,,,,,,,,,
,-19718.48750286571,0.0,0.2,-14.479722213745116,1.8270366e-06,70,48505606.8,0.9998828768730164,0.0003,-0.00016448900569230319,23619756.0,1.2040138244628906e-05,,,,
-15176.008835058066,,,,,,,,,,,,,,,,
-4938.931853320913,,,,,,,,,,,,,,,,
,-2055.813266985321,,,,,,,,,,,,,,,
-20061.538650615068,,,,,,,,,,,,,,,,
,-2147.4958450482795,,,,,,,,,,,,,,,
-12322.414422943559,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,102.0,-214.48238302000001,0.0,30000
-13639.170733474504,,,,,,,,,,,,,,,,
,-2086.5908239441064,,,,,,,,,,,,,,,
-11340.832821597727,,,,,,,,,,,,,,,,
-625.4731063690299,,,,,,,,,,,,,,,,
,-4294.869680720253,,,,,,,,,,,,,,,
-10003.06327850541,,,,,,,,,,,,,,,,
-11828.329796422946,,,,,,,,,,,,,,,,
,-2086.4426467314915,,,,,,,,,,,,,,,
-1386.1940655231178,,,,,,,,,,,,,,,,
-674.9710091589957,,,,,,,,,,,,,,,,
,-992.5732052249894,,,,,,,,,,,,,,,
-8336.435161002124,,,,,,,,,,,,,,,,
,-2220.23144887414,,,,,,,,,,,,,,,
-17758.17551096374,,,,,,,,,,,,,,,,
-6031.7185081549815,,,,,,,,,,,,,,,,
,-4386.851908929968,0.0,0.2,-14.417125415802001,1.3402867e-05,80,33164995.6,0.9998540878295898,0.0003,-0.0011306500644423067,16953582.0,-3.170967102050781e-05,,,,
,-10009.701534217547,,,,,,,,,,,,,,,
-19779.12516568867,,,,,,,,,,,,,,,,
,-8071.420624485434,,,,,,,,,,,,,,,
-26992.54176200345,,,,,,,,,,,,,,,,
,-6598.87652355329,,,,,,,,,,,,,,,
,-10290.167892868541,,,,,,,,,,,,,,,
-16444.246518830132,,,,,,,,,,,,,,,,
